"Estado","Sexo","Edad","Color","Años de estudio","Ingresos","Altura"
"Paraiba","Femenino","44","Blanco","15","2000","1.59"
"Piaui","Masculino","34","Pardo","4","400","1.61"
"Parana","Femenino","32","Blanco","8","1000","1.65"
"Parana","Femenino","50","Blanco","15","12000","1.82"
"Ceara","Masculino","57","Negro","0","800","1.71"
"Mato Grosso do Sul","Masculino","28","Negro","4","1200","1.7"
"Parana","Femenino","60","Pardo","4","788","1.75"
"Sao Paulo","Masculino","50","Blanco","15","10000","1.63"
"Minas Gerais","Masculino","54","Negro","2","1100","1.65"
"Rondonia","Masculino","33","Pardo","6","1200","1.66"
"Sao Paulo","Masculino","35","Blanco","15","5000","1.75"
"Sao Paulo","Femenino","53","Blanco","3","200","1.84"
"Para","Masculino","47","Pardo","15","13000","1.72"
"Sergipe","Femenino","22","Pardo","11","600","1.62"
"Pernambuco","Femenino","56","Blanco","11","2000","1.65"
"Para","Masculino","26","Pardo","7","700","1.74"
"Sao Paulo","Masculino","37","Amarillo","15","3200","1.67"
"Parana","Masculino","43","Blanco","8","1000","1.71"
"Ceara","Femenino","46","Pardo","0","788","1.68"
"Parana","Masculino","30","Negro","9","1300","1.68"
"Para","Masculino","37","Pardo","11","1150","1.7"
"Mato Grosso","Masculino","64","Blanco","0","10000","1.78"
"Minas Gerais","Masculino","75","Blanco","4","480","1.64"
"Sao Paulo","Masculino","51","Pardo","0","1200","1.63"
"Parana","Masculino","62","Blanco","5","1700","1.66"
"Ceara","Femenino","59","Blanco","11","788","1.72"
"Ceara","Masculino","65","Pardo","0","0","1.74"
"Rio Grande do Sul","Femenino","36","Negro","0","1000","1.68"
"Parana","Masculino","45","Pardo","12","1500","1.61"
"Para","Femenino","35","Blanco","15","2800","1.67"
"Mato Grosso","Masculino","40","Pardo","0","900","1.86"
" Goias","Masculino","41","Pardo","13","788","1.64"
"Rio de Janeiro","Femenino","26","Negro","15","3000","1.65"
"Minas Gerais","Femenino","56","Pardo","11","2000","1.65"
"Mato Grosso do Sul","Femenino","44","Blanco","4","860","1.7"
"Rondonia","Masculino","36","Negro","11","2000","1.7"
"Rio Grande do Sul","Masculino","35","Blanco","7","2300","1.63"
"Sao Paulo","Femenino","28","Blanco","6","150","1.77"
"Rio Grande do Sul","Masculino","39","Blanco","11","1576","1.66"
"Rio Grande do Sul","Femenino","52","Blanco","11","1700","1.71"
"Para","Femenino","43","Pardo","11","70","1.57"
"Espirito Santo","Masculino","55","Blanco","4","1300","1.62"
"Rio de Janeiro","Femenino","42","Negro","11","788","1.89"
"Santa Catarina","Femenino","62","Pardo","4","2012","1.61"
"Minas Gerais","Masculino","48","Negro","12","2400","1.66"
"Bahia","Femenino","43","Blanco","11","2000","1.72"
"Bahia","Masculino","62","Pardo","0","788","1.58"
"Ceara","Masculino","33","Pardo","8","875","1.76"
"Rio Grande do Sul","Masculino","60","Blanco","11","1200","1.7"
"Sao Paulo","Masculino","40","Pardo","0","1500","1.65"
"Rio Grande do Sul","Femenino","62","Blanco","6","0","1.57"
"Mato Grosso do Sul","Masculino","44","Negro","13","788","1.56"
"Santa Catarina","Masculino","36","Blanco","15","5000","1.7"
"Sao Paulo","Masculino","19","Blanco","9","1500","1.59"
"Rio Grande do Sul","Masculino","54","Blanco","15","5000","1.72"
"Minas Gerais","Masculino","39","Blanco","5","1000","1.6"
"Minas Gerais","Femenino","37","Pardo","4","788","1.73"
"Minas Gerais","Masculino","33","Pardo","15","5000","1.42"
"Piaui","Masculino","42","Negro","8","788","1.65"
"Rio Grande do Sul","Masculino","71","Negro","2","1500","1.65"
"Bahia","Masculino","57","Pardo","0","200","1.76"
"Pernambuco","Masculino","29","Pardo","8","788","1.54"
"Para","Femenino","30","Pardo","11","1500","1.86"
"Minas Gerais","Masculino","50","Pardo","10","1000","1.76"
"Bahia","Femenino","44","Pardo","15","7880","1.73"
"Espirito Santo","Masculino","20","Pardo","11","900","1.66"
"Ceara","Masculino","78","Pardo","4","400","1.62"
"Rio Grande do Norte","Masculino","38","Pardo","6","1500","1.63"
"Acres","Masculino","47","Pardo","8","1500","1.84"
"Bahia","Masculino","46","Pardo","0","380","1.83"
"Rio de Janeiro","Masculino","42","Blanco","11","2300","1.68"
"Rio de Janeiro","Masculino","42","Blanco","11","1200","1.67"
"Minas Gerais","Masculino","28","Blanco","11","4000","1.85"
"Rondonia","Masculino","50","Blanco","11","4500","1.72"
"Minas Gerais","Masculino","57","Pardo","11","5000","1.66"
" Goias","Masculino","53","Blanco","3","3200","1.69"
"Minas Gerais","Femenino","30","Pardo","11","888","1.71"
"Distrito Federal","Masculino","37","Pardo","11","1200","1.73"
"Ceara","Masculino","27","Pardo","3","1260","1.66"
"Bahia","Femenino","53","Negro","6","150","1.8"
" Goias","Femenino","35","Pardo","6","788","1.68"
"Sao Paulo","Femenino","57","Blanco","7","1000","1.73"
"Para","Femenino","37","Pardo","9","250","1.51"
"Sao Paulo","Femenino","47","Blanco","8","1000","1.65"
"Parana","Masculino","46","Pardo","8","1800","1.68"
"Ceara","Masculino","31","Blanco","0","480","1.72"
"Bahia","Masculino","31","Pardo","7","1000","1.69"
"Minas Gerais","Masculino","25","Negro","11","800","1.71"
"Minas Gerais","Masculino","35","Negro","11","1430","1.68"
"Rio de Janeiro","Femenino","58","Pardo","4","700","1.67"
"Sao Paulo","Masculino","44","Blanco","8","2000","1.74"
"Rio de Janeiro","Masculino","31","Blanco","4","890","1.73"
"Sao Paulo","Masculino","35","Pardo","11","1500","1.82"
"Ceara","Masculino","28","Pardo","11","1000","1.72"
"Rio Grande do Sul","Masculino","39","Blanco","4","2200","1.57"
"Pernambuco","Femenino","25","Negro","11","5000","1.57"
"Parana","Masculino","57","Blanco","11","4500","1.73"
"Rio Grande do Sul","Femenino","32","Blanco","15","4000","1.79"
"Piaui","Femenino","49","Blanco","15","1600","1.76"
" Goias","Femenino","42","Negro","15","5000","1.59"
"Parana","Masculino","38","Amarillo","12","1577","1.71"
"Rio de Janeiro","Femenino","40","Blanco","11","1600","1.65"
"Minas Gerais","Masculino","49","Negro","15","10000","1.69"
"Minas Gerais","Femenino","56","Pardo","11","1300","1.81"
"Rio Grande do Sul","Masculino","50","Negro","3","1100","1.72"
"Roraima","Femenino","32","Pardo","14","1200","1.65"
"Para","Masculino","37","Pardo","7","1500","1.67"
"Distrito Federal","Femenino","51","Pardo","14","7000","1.83"
"Sao Paulo","Masculino","42","Blanco","15","12000","1.61"
"Pernambuco","Femenino","52","Pardo","15","2500","1.69"
"Espirito Santo","Masculino","30","Blanco","15","1200","1.75"
"Sao Paulo","Masculino","32","Blanco","11","2000","1.55"
"Minas Gerais","Femenino","40","Blanco","8","1200","1.66"
"Sao Paulo","Masculino","54","Pardo","7","2000","1.73"
"Espirito Santo","Femenino","51","Blanco","14","3000","1.69"
"Sao Paulo","Femenino","27","Pardo","10","480","1.7"
"Sao Paulo","Masculino","40","Blanco","15","3940","1.65"
"Maranhao","Masculino","40","Pardo","4","600","1.63"
"Bahia","Masculino","42","Blanco","11","900","1.63"
"Sao Paulo","Masculino","33","Pardo","11","900","1.7"
"Distrito Federal","Masculino","45","Pardo","11","6000","1.78"
"Distrito Federal","Masculino","31","Blanco","11","3800","1.66"
"Parana","Femenino","53","Blanco","15","5000","1.66"
"Sao Paulo","Masculino","63","Blanco","4","1250","1.82"
